
27,27,360,0,3,348,65.0A-1.0A-1.0A58.0,31.0A-1.0A-1.0A56.0,3.0A-1.0A-1.0A24.0,-1.0A-1.0A-1.0A-1.0,,27,UP,,27,210,false,1.0
28,28,400,0,3,153,-1.0A37.0A-1.0A77.0,-1.0A47.0A-1.0A15.0,-1.0A3.0A-1.0A3.0,-1.0A-1.0A-1.0A-1.0,,28,LEFT,,28,240,false,1.0
29,29,570,0,3,165,-1.0A-1.0A-1.0A-1.0,-1.0A87.0A119.0A84.0,-1.0A3.0A3.0A3.0,-1.0A49.0A81.0A54.0,,29,DOWN,,29,70,false,0.35
29,29,640,0,3,480,-1.0A-1.0A-1.0A-1.0,-1.0A103.0A95.0A92.0,-1.0A47.0A63.0A55.0,-1.0A53.0A87.0A78.0,,29,DOWN,,29,0,false,-1.0
30,30,640,0,3,598,-1.0A-1.0A-1.0A-1.0,-1.0A-1.0A107.0A83.0,-1.0A-1.0A59.0A51.0,-1.0A-1.0A92.0A81.0,,30,DOWN,,30,0,false,-1.0
32,32,640,0,3,972,-1.0A-1.0A-1.0A-1.0,-1.0A71.0A75.0A-1.0,-1.0A11.0A39.0A-1.0,-1.0A55.0A63.0A-1.0,,32,DOWN,,32,90,false,0.45
32,32,640,0,3,1223,-1.0A-1.0A-1.0A-1.0,-1.0A75.0A-1.0A39.0,-1.0A3.0A-1.0A11.0,-1.0A45.0A-1.0A97.0,,32,UP,,32,120,false,0.6
33,33,730,0,3,1259,44.0A45.0A-1.0A-1.0,95.0A39.0A-1.0A-1.0,3.0A3.0A-1.0A-1.0,-1.0A-1.0A-1.0A-1.0,,33,LEFT,,33,400,false,1.0
33,33,1130,0,3,1020,-1.0A-1.0A-1.0A-1.0,91.0A-1.0A-1.0A107.0,3.0A-1.0A-1.0A3.0,16.0A-1.0A-1.0A10.0,,33,RIGHT,,33,1280,false,1.0
33,33,1560,0,3,1008,-1.0A-1.0A-1.0A-1.0,-1.0A-1.0A111.0A95.0,-1.0A-1.0A3.0A3.0,-1.0A-1.0A4.0A58.0,,33,DOWN,,33,850,false,1.0
33,33,2410,0,3,1271,-1.0A-1.0A-1.0A-1.0,-1.0A143.0A-1.0A87.0,-1.0A55.0A-1.0A15.0,-1.0A86.0A-1.0A118.0,,33,UP,,33,0,false,-1.0
34,34,2410,0,3,1020,39.0A-1.0A-1.0A87.0,91.0A-1.0A-1.0A107.0,3.0A-1.0A-1.0A15.0,60.0A-1.0A-1.0A108.0,,34,RIGHT,,34,0,false,-1.0
34,34,2410,0,3,1008,-1.0A-1.0A103.0A63.0,-1.0A-1.0A111.0A95.0,-1.0A-1.0A39.0A3.0,-1.0A-1.0A142.0A101.0,,34,DOWN,,34,0,false,-1.0
35,35,2410,0,3,1271,-1.0A55.0A-1.0A87.0,-1.0A143.0A-1.0A87.0,-1.0A55.0A-1.0A15.0,-1.0A130.0A-1.0A137.0,,35,UP,,35,30,false,-1.0
37,37,2440,0,3,883,16.0A-1.0A-1.0A50.0,79.0A-1.0A-1.0A119.0,3.0A-1.0A-1.0A3.0,-1.0A-1.0A-1.0A-1.0,,37,UP,,37,50,true,-1.0
38,38,2460,0,2,810,-1.0A-1.0A-1.0A-1.0,104.0A-1.0A35.0A-1.0,36.0A-1.0A3.0A-1.0,-1.0A-1.0A-1.0A-1.0,,38,DOWN,,38,60,false,0.3
39,39,2520,0,2,948,-1.0A100.0A-1.0A-1.0,-1.0A83.0A51.0A-1.0,-1.0A3.0A3.0A-1.0,-1.0A-1.0A-1.0A-1.0,,39,DOWN,,39,220,false,1.0
40,40,2580,0,2,1211,-1.0A124.0A-1.0A116.0,-1.0A107.0A-1.0A27.0,-1.0A51.0A-1.0A3.0,-1.0A-1.0A-1.0A-1.0,,40,LEFT,,40,160,false,0.8
40,40,2740,0,2,936,72.0A96.0A-1.0A-1.0,116.0A153.0A-1.0A-1.0,48.0A15.0A-1.0A-1.0,50.0A92.0A-1.0A-1.0,,40,UP,,40,0,false,-1.0
41,41,2740,0,2,810,48.0A72.0A-1.0A-1.0,104.0A153.0A-1.0A-1.0,36.0A39.0A-1.0A-1.0,44.0A74.0A-1.0A-1.0,,41,UP,,41,0,false,-1.0
41,41,2740,0,2,691,70.0A24.0A-1.0A131.0,92.0A140.0A-1.0A92.0,55.0A63.0A-1.0A24.0,62.0A38.0A-1.0A77.0,,41,UP,,41,0,false,-1.0
