
d:[0,0,30,10,52,2147483647,-1,false,3] S:[,0,RIGHT] ->:[,0,90,0]
d:[1,1,60,22,40,2147483647,-1,false,3] S:[,1,DOWN] ->:[,1,100,0]
d:[2,2,90,34,28,2147483647,-1,false,3] S:[,2,RIGHT] ->:[,2,100,0]
d:[3,3,120,46,16,64,492,false,3] S:[,3,DOWN] ->:[,3,130,0]
d:[4,4,160,62,32,32,476,false,3] S:[,4,UP] ->:[,4,100,0]
d:[8,8,260,159,68,2147483647,-1,false,2] S:[,8,UP] ->:[,8,80,0]
d:[8,8,270,171,56,2147483647,-1,false,2] S:[,8,UP] ->:[,8,100,0]
d:[8,8,330,199,52,54,514,false,2] S:[,8,RIGHT] ->:[,8,70,0]
d:[8,8,340,211,52,30,418,false,2] S:[,8,LEFT] ->:[,8,90,0]
d:[9,9,370,223,40,30,396,false,2] S:[,9,LEFT] ->:[,9,420,0]
d:[10,10,400,235,28,6,280,false,2] S:[,10,LEFT] ->:[,10,390,0]
d:[11,11,430,247,16,18,113,false,2] S:[,11,RIGHT] ->:[,11,360,0]
d:[15,15,790,411,40,26,252,true,2] S:[,15,RIGHT] ->:[,15,160,0]
d:[15,15,790,423,28,20,288,true,2] S:[,15,RIGHT] ->:[,15,160,0]
d:[15,15,790,435,16,14,324,true,2] S:[,15,RIGHT] ->:[,15,160,0]
d:[15,15,20,7,60,2147483647,-1,false,3] S:[,15,RIGHT] ->:[,15,70,0]
d:[16,16,30,19,60,2147483647,-1,false,3] S:[,16,RIGHT] ->:[,16,120,0]
d:[17,17,60,31,48,2147483647,-1,false,3] S:[,17,DOWN] ->:[,17,120,0]
d:[18,18,90,43,36,99,495,false,3] S:[,18,DOWN] ->:[,18,180,0]
d:[19,19,150,67,28,99,574,false,3] S:[,19,DOWN] ->:[,19,150,0]
d:[20,20,180,79,40,99,663,false,3] S:[,20,DOWN] ->:[,20,290,0]
d:[21,21,270,115,40,75,800,false,3] S:[,21,DOWN] ->:[,21,230,0]
d:[22,22,300,127,28,51,856,false,3] S:[,22,DOWN] ->:[,22,230,0]
d:[23,23,470,179,92,25,870,true,3] S:[,23,RIGHT] ->:[,23,70,0]
d:[27,27,540,239,48,43,1003,true,3] S:[,27,RIGHT] ->:[,27,190,0]
d:[27,27,540,251,36,61,1009,true,3] S:[,27,RIGHT] ->:[,27,190,0]
d:[27,27,570,263,24,61,615,true,3] S:[,27,RIGHT] ->:[,27,160,0]
d:[30,30,80,116,48,2147483647,-1,false,2] S:[,30,UP] ->:[,30,60,0]
d:[30,30,140,152,32,44,508,false,2] S:[,30,RIGHT] ->:[,30,210,0]
d:[30,30,140,177,32,39,483,false,2] S:[,30,RIGHT] ->:[,30,240,0]
d:[31,31,180,193,16,41,362,false,2] S:[,31,LEFT] ->:[,31,230,0]
d:[31,31,350,245,85,31,421,true,2] S:[,31,RIGHT] ->:[,31,90,0]
d:[32,32,380,257,76,41,375,true,2] S:[,32,RIGHT] ->:[,32,90,0]
d:[33,33,410,269,64,35,381,true,2] S:[,33,RIGHT] ->:[,33,90,0]
d:[34,34,440,281,52,29,414,true,2] S:[,34,RIGHT] ->:[,34,90,0]
d:[35,35,470,293,40,47,438,true,2] S:[,35,RIGHT] ->:[,35,220,0]
d:[36,36,500,305,28,41,517,true,2] S:[,36,RIGHT] ->:[,36,190,0]
d:[37,37,530,317,16,35,568,true,2] S:[,37,RIGHT] ->:[,37,160,0]
d:[41,41,710,602,108,2147483647,-1,false,1] S:[,41,UP] ->:[,41,60,0]
d:[39,39,130,52,56,18,486,false,3] S:[,39,UP] ->:[,39,260,0]
d:[40,40,200,80,28,38,371,false,3] S:[,40,LEFT] ->:[,40,210,0]
d:[41,41,230,92,16,42,278,false,3] S:[,41,LEFT] ->:[,41,180,0]
d:[42,42,390,144,85,14,179,true,3] S:[,42,RIGHT] ->:[,42,50,0]
d:[43,43,410,156,76,4,123,true,3] S:[,43,RIGHT] ->:[,43,60,0]
d:[44,44,410,168,64,22,87,true,3] S:[,44,RIGHT] ->:[,44,90,0]
d:[45,45,440,180,52,40,25,true,3] S:[,45,RIGHT] ->:[,45,90,0]
d:[46,46,470,192,40,34,138,true,3] S:[,46,RIGHT] ->:[,46,420,0]
d:[47,47,500,204,28,28,102,true,3] S:[,47,RIGHT] ->:[,47,790,0]
d:[48,48,530,216,16,22,76,true,3] S:[,48,RIGHT] ->:[,48,760,0]
d:[49,49,890,268,112,11,236,true,3] S:[,49,RIGHT] ->:[,49,400,0]
d:[53,53,1290,404,28,2147483647,-1,false,2] S:[,53,UP] ->:[,53,260,0]
d:[54,54,1550,549,121,2147483647,-1,false,1] S:[,54,UP] ->:[,54,70,0]
d:[54,54,1560,561,133,2147483647,-1,false,1] S:[,54,UP] ->:[,54,60,0]
d:[53,53,230,91,52,29,387,false,3] S:[,53,LEFT] ->:[,53,90,0]
d:[54,54,260,103,40,27,334,false,3] S:[,54,LEFT] ->:[,54,420,0]
d:[55,55,290,115,28,3,262,false,3] S:[,55,LEFT] ->:[,55,390,0]
d:[56,56,320,127,16,21,95,false,3] S:[,56,RIGHT] ->:[,56,360,0]
d:[60,60,680,267,64,29,230,false,3] S:[,60,LEFT] ->:[,60,50,0]
d:[60,60,680,279,52,31,158,true,3] S:[,60,RIGHT] ->:[,60,50,0]
d:[60,60,710,291,40,13,164,true,3] S:[,60,RIGHT] ->:[,60,360,0]
d:[60,60,730,303,28,5,271,true,3] S:[,60,RIGHT] ->:[,60,340,0]
d:[61,61,730,315,16,16,348,false,3] S:[,61,LEFT] ->:[,61,340,0]
d:[65,65,1510,780,28,2147483647,-1,false,1] S:[,65,UP] ->:[,65,230,0]
d:[65,65,1680,832,97,83,505,false,1] S:[,65,RIGHT] ->:[,65,90,0]
d:[65,65,1710,844,96,83,543,false,1] S:[,65,RIGHT] ->:[,65,70,0]
d:[65,65,1740,856,84,59,616,false,1] S:[,65,RIGHT] ->:[,65,70,0]
d:[66,66,1770,868,72,59,739,false,1] S:[,66,RIGHT] ->:[,66,70,0]
d:[67,67,1780,880,60,59,727,false,1] S:[,67,RIGHT] ->:[,67,120,0]
d:[68,68,1810,892,48,35,767,false,1] S:[,68,RIGHT] ->:[,68,120,0]
d:[69,69,1840,904,36,35,845,false,1] S:[,69,DOWN] ->:[,69,180,0]
d:[70,70,1900,928,28,37,961,false,1] S:[,70,RIGHT] ->:[,70,140,0]
d:[71,71,1930,940,40,37,973,false,1] S:[,71,RIGHT] ->:[,71,110,0]
d:[72,72,20,54,48,52,512,false,3] S:[,72,DOWN] ->:[,72,350,0]
d:[73,73,250,130,88,80,556,true,3] S:[,73,RIGHT] ->:[,73,150,0]
d:[74,74,280,142,76,98,451,true,3] S:[,74,RIGHT] ->:[,74,290,0]
d:[75,75,370,178,40,109,612,true,3] S:[,75,RIGHT] ->:[,75,230,0]
d:[76,76,400,190,28,91,648,true,3] S:[,76,RIGHT] ->:[,76,230,0]
d:[77,77,570,242,92,54,654,true,3] S:[,77,RIGHT] ->:[,77,90,0]
d:[78,78,600,254,104,72,618,true,3] S:[,78,RIGHT] ->:[,78,70,0]
d:[79,79,630,266,116,87,358,true,3] S:[,79,RIGHT] ->:[,79,70,0]
d:[80,80,660,278,128,95,544,true,3] S:[,80,RIGHT] ->:[,80,70,0]
d:[81,81,670,290,128,85,517,true,3] S:[,81,RIGHT] ->:[,81,80,0]
d:[82,82,700,302,116,79,523,true,3] S:[,82,RIGHT] ->:[,82,50,0]
d:[86,86,890,652,128,64,712,false,1] S:[,86,RIGHT] ->:[,86,50,0]
d:[86,86,890,664,116,40,724,false,1] S:[,86,RIGHT] ->:[,86,50,0]
d:[86,86,890,676,104,40,796,false,1] S:[,86,DOWN] ->:[,86,50,0]
d:[86,86,270,111,88,97,527,true,3] S:[,86,RIGHT] ->:[,86,150,0]
d:[87,87,300,123,76,103,533,true,3] S:[,87,RIGHT] ->:[,87,320,0]
d:[88,88,390,159,40,91,784,false,3] S:[,88,DOWN] ->:[,88,260,0]
d:[89,89,420,171,28,91,852,false,3] S:[,89,DOWN] ->:[,89,260,0]
d:[90,90,620,235,104,59,886,true,3] S:[,90,RIGHT] ->:[,90,70,0]
d:[91,91,650,247,116,53,864,true,3] S:[,91,RIGHT] ->:[,91,70,0]
d:[92,92,680,259,128,47,870,true,3] S:[,92,RIGHT] ->:[,92,70,0]
d:[93,93,690,271,128,41,876,true,3] S:[,93,RIGHT] ->:[,93,80,0]
d:[94,94,720,283,116,35,882,true,3] S:[,94,RIGHT] ->:[,94,50,0]
d:[98,98,880,494,73,2147483647,-1,false,2] S:[,98,UP] ->:[,98,90,0]
d:[98,98,910,506,85,58,498,false,2] S:[,98,RIGHT] ->:[,98,90,0]
d:[98,98,940,518,76,58,486,false,2] S:[,98,RIGHT] ->:[,98,90,0]
d:[98,98,970,530,64,34,433,false,2] S:[,98,LEFT] ->:[,98,90,0]
